"ID";"block";"experience";"STEMContrasts1";"STEMContrasts2";"experienceContrasts";"STEM";"sexContrasts";"nStimuliContrasts1";"nStimuliContrasts2";"typeContrasts";"sex";"nStimuli";"typeOfAlternatives";"hitSum";"incorrectSum";"acc";"accAttempts";"attempts";"fullCorrectTrials";"accScoringSystem"
"id198";"main4";"yes";0;1;1;"nonSTEM";-1;0;1;-1;"female";4;"paired";23;1;0.958333333333333;0.958333333333333;23;11;0.916666666666667
"id198";"main5";"yes";0;1;1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";15;5;0.625;0.75;17;2;0.333333333333333
"id198";"main6";"yes";0;1;1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";19;5;0.791666666666667;0.791666666666667;24;3;0.5
"id59";"main1";"no";0;1;-1;"nonSTEM";1;0;1;-1;"male";4;"paired";22;2;0.916666666666667;0.916666666666667;22;11;0.916666666666667
"id59";"main2";"no";0;1;-1;"nonSTEM";1;-1;-1;-1;"male";8;"paired";24;0;1;1;24;6;1
"id59";"main3";"no";0;1;-1;"nonSTEM";1;0;1;1;"male";4;"mixed";23;1;0.958333333333333;0.958333333333333;24;11;0.916666666666667
"id59";"main4";"no";0;1;-1;"nonSTEM";1;1;0;-1;"male";2;"paired";24;0;1;1;24;24;1
"id59";"main5";"no";0;1;-1;"nonSTEM";1;1;0;1;"male";2;"mixed";24;0;1;1;24;24;1
"id59";"main6";"no";0;1;-1;"nonSTEM";1;-1;-1;1;"male";8;"mixed";20;4;0.833333333333333;0.833333333333333;23;3;0.5
"id120";"main1";"yes";0;1;1;"nonSTEM";-1;0;1;-1;"female";4;"paired";22;2;0.916666666666667;0.916666666666667;24;10;0.833333333333333
"id120";"main2";"yes";0;1;1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";22;2;0.916666666666667;0.916666666666667;24;4;0.666666666666667
"id120";"main3";"yes";0;1;1;"nonSTEM";-1;1;0;-1;"female";2;"paired";23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id120";"main4";"yes";0;1;1;"nonSTEM";-1;0;1;1;"female";4;"mixed";22;2;0.916666666666667;0.916666666666667;24;10;0.833333333333333
